District_Area(km2),Cholera Cases,District,Distance From Main Road,Estimated Number of Poor Persons,Female Population,ID,Male population,Pop Density per district,Pop Total,Region,Time To Access Urban Centre,Water Scarcity,Distance to water body,Gdppersqkm,Flood Frequency Rates,Men Literacy Levels,Women Literacy Levels,Water Coverage,perc poor persons,perc water coverage,perc men lit ,perc women lit
553.0252,147,Afadzato South,1381,34734,48758,423,46272,171.836654,95030,Volta,42,0.967363324,2788,554,0.070251173,0.875364021,0.752204862,0.923358288,37,89,88,75
863.2498,79,Berekum,2478,35199,69759,710,59869,150.162792,129628,Brong Ahafo,38,1.135338373,3066,862,0,0.901178484,0.756542028,0.975023439,27,94,90,76
462.7711,124,North Dayi,3804,16052,21264,424,18649,86.247823,39913,Volta,90,1.1267941,1150,464,7.299069591,0.848197023,0.750842024,0.896579476,40,86,85,75
314.0743,137,Kpando Municipal,2036,17113,27832,410,25904,171.093273,53736,Volta,72,1.126884074,1712,315,3.591502167,0.871080417,0.76287508,0.957728096,32,92,87,76
1131.6425,192,North Tongu,4458,45899,47285,419,42492,79.333358,89777,Volta,81,1.179037912,3225,1134,0.031120717,0.790581615,0.53168259,0.79431911,51,77,79,53
682.2245,,Central Tongu,2245,19651,31621,406,27790,87.084237,59411,Volta,74,0.733819776,2457,684,0.000956959,0.787994177,0.507189811,0.928946043,33,90,79,51
174.9719,216,Nsawam Adoagyiri,692,4963,43267,505,42733,491.507493,86000,Eastern,10,0.57776314,3127,175,0,0.881095187,0.757148565,0.969850265,6,93,88,76
224.1274,224,Akwapem South,683,6101,19327,523,18174,167.320015,37501,Eastern,18,0.57776314,3041,225,0,0.81742662,0.642559062,0.866912271,16,84,82,64
436.2501,244,Denkyembour,1310,3559,40027,525,38814,180.724314,78841,Eastern,55,0.56710363,2169,437,0,0.816598558,0.748156553,0.943471299,5,91,82,75
803.4786,227,Kwaebibirem,1393,18457,57975,514,55746,141.535817,113721,Eastern,81,0.566955864,2779,804,0,0.801512251,0.653934985,0.925231071,16,89,80,65
3094.9554,175,Kwahu Afram Plains South,6921,67555,53362,526,62450,37.419602,115812,Eastern,188,0.641327442,3523,3100,1.729270919,0.686037336,0.505604703,0.569573244,58,55,69,51
2341.2847,142,Kwahu Afram Plains North,8287,31920,48240,521,54183,43.746495,102423,Eastern,232,1.03284555,1333,2346,6.32225076,0.55127398,0.403939297,0.417596197,31,40,55,40
755.3729,79,Jaman South,2793,18607,49190,711,43459,122.653328,92649,Brong Ahafo,66,1.143310214,4070,754,0,0.843340248,0.554415488,0.915690889,20,88,84,55
358.9866,214,Suhum Municipal,874,5762,46396,504,43962,251.702988,90358,Eastern,19,0.572547846,4270,360,0,0.81617693,0.639503932,0.839130118,6,81,82,64
498.999,222,Ayensuano,1463,23466,38753,524,38440,154.695701,77193,Eastern,29,0.576600133,4085,500,0,0.758023317,0.588946327,0.753852109,30,73,76,59
508.313,236,East Akim,798,17493,86129,513,81767,330.300425,167896,Eastern,22,0.566101762,2141,509,0,0.872778905,0.752779361,0.937918929,10,90,87,75
342.2992,234,Upper West Akim,953,21975,44212,522,42839,254.312601,87051,Eastern,24,0.574441315,3173,343,0,0.726438764,0.6232189,0.832063571,25,80,73,62
475.0264,247,West Akim,1462,11759,56090,503,52208,227.983118,108298,Eastern,37,0.567569593,4646,476,1.24E-05,0.776190855,0.698854197,0.888484583,11,86,78,70
1210.2753,79,Dormaa Municipal,3252,12492,58522,704,53589,92.632643,112111,Brong Ahafo,76,1.132317008,4264,1209,0,0.838170769,0.625897518,0.901530691,11,87,84,63
381.0036,89,Dormaa West,1410,4639,22997,724,24681,125.137925,47678,Brong Ahafo,86,1.254832218,2735,380,0,0.841246918,0.441534037,0.830565583,10,80,84,44
1132.0207,107,Nadowli-Kaleo,1388,41629,32808,1005,28753,54.381514,61561,Upper West,42,2.25229443,3281,1131,0.000126504,0.444204494,0.291974803,0.957799632,68,92,44,29
1456.1693,161,Daffiama Bussie,4728,23698,16856,1010,15971,22.543395,32827,Upper West,89,2.329385755,2825,1455,3.61E-05,0.417826558,0.324888994,0.975346458,72,94,42,32
527.3726,97,Lawra,2054,39519,28543,1009,26346,104.080113,54889,Upper West,51,2.254498005,2279,527,0.000384743,0.452319975,0.266181811,0.8601525,72,83,45,27
579.8588,103,Wa Municipal,1360,36253,54218,1002,52996,184.896737,107214,Upper West,22,2.252869743,3278,579,2.52E-06,0.850863447,0.680133546,0.986204276,34,95,85,68
1059.3292,137,Sunyani West,1776,24957,43884,709,41388,80.496223,85272,Brong Ahafo,38,1.129711501,3601,1059,0,0.890898689,0.724437086,0.960595257,29,93,89,72
